"DVD movie: Title (Year)", "Description"
"DVD movie: The Accountant (2016)", "As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities and the body count starts to rise."
"DVD movie: Prisoners (2013)", "When Keller Dovers daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts."
"DVD movie: Warcraft (2016)", "As an Orc horde invades the planet Azeroth using a magic portal, a few human heroes and dissenting Orcs must attempt to stop the true evil behind this war."
"DVD movie: The Help (2011)", "An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids point of view on the white families for which they work, and the hardships they go through on a daily basis."
"DVD movie: War Dogs (2016)", "Based on the true story of two young men, David Packouz and Efraim Diveroli, who won a $300 million contract from the Pentagon to arm Americas allies in Afghanistan."
"DVD movie: Avengers: Age of Ultron (2015)", "When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and its up to Earths mightiest heroes to stop the villainous Ultron from enacting his terrible plan."
"DVD movie: The Nice Guys (2016)", "In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star."
"DVD movie: Kimi no na wa (2016)", "Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?"
"DVD movie: The Void (2016)", "Shortly after delivering a patient to an understaffed hospital, a police officer experiences strange and violent occurrences seemingly linked to a group of mysterious hooded figures."
"DVD movie: Personal Shopper (2016)", "A personal shopper in Paris refuses to leave the city until she makes contact with her twin brother who previously died there. Her life becomes more complicated when a mysterious person contacts her via text message."
"DVD movie: The Departed (2006)", "An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston."
"DVD movie: Legend (2015)", "Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s."
"DVD movie: Thor (2011)", "The powerful but arrogant god Thor is cast out of Asgard to live amongst humans in Midgard (Earth), where he soon becomes one of their finest defenders."
"DVD movie: The Martian (2015)", "An astronaut becomes stranded on Mars after his team assume him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive."
"DVD movie: Contratiempo (2016)", "A young businessman faces a lawyer trying to prove his innocence by the assassination of his lover."
"DVD movie: The Man from U.N.C.L.E. (2015)", "In the early 1960s, CIA agent Napoleon Solo and KGB operative Illya Kuryakin participate in a joint mission against a mysterious criminal organization, which is working to proliferate nuclear weapons."
"DVD movie: Hell or High Water (2016)", "A divorced father and his ex-con older brother resort to a desperate scheme in order to save their familys ranch in West Texas."
"DVD movie: The Comedian (2016)", "A look at the life of an aging insult comic named Jack Burke."
"DVD movie: The Legend of Tarzan (2016)", "Tarzan, having acclimated to life in London, is called back to his former home in the jungle to investigate the activities at a mining encampment."
"DVD movie: All We Had (2016)", "A mother struggles to make a better life for her daughter."
"DVD movie: Ex Machina (2014)", "A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a breath-taking humanoid A.I."
"DVD movie: The Belko Experiment (2016)", "In a twisted social experiment, 80 Americans are locked in their high-rise corporate office in Bogotá, Colombia and ordered by an unknown voice coming from the companys intercom system to participate in a deadly game of kill or be killed."
"DVD movie: 12 Years a Slave (2013)", "In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery."
"DVD movie: The Bad Batch (2016)", "A dystopian love story in a Texas wasteland and set in a community of cannibals."
"DVD movie: 300 (2006)", "King Leonidas of Sparta and a force of 300 men fight the Persians at Thermopylae in 480 B.C."
"DVD movie: Harry Potter and the Deathly Hallows: Part 2 (2011)", "Harry, Ron and Hermione search for Voldemorts remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
"DVD movie: Office Christmas Party (2016)", "When his uptight CEO sister threatens to shut down his branch, the branch manager throws an epic Christmas party in order to land a big client and save the day, but the party gets way out of hand..."
"DVD movie: The Neon Demon (2016)", "When aspiring model Jesse moves to Los Angeles, her youth and vitality are devoured by a group of beauty-obsessed women who will take any means necessary to get what she has."
"DVD movie: Dangal (2016)", "Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression."
"DVD movie: 10 Cloverfield Lane (2016)", "After getting in a car accident, a woman is held in a shelter with two men, who claim the outside world is affected by a widespread chemical attack."
"DVD movie: Finding Dory (2016)", "The friendly but forgetful blue tang fish, Dory, begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way."
"DVD movie: Miss Peregrines Home for Peculiar Children (2016)", "When Jacob discovers clues to a mystery that stretches across time, he finds Miss Peregrines Home for Peculiar Children. But the danger deepens after he gets to know the residents and learns about their special powers."
"DVD movie: Divergent (2014)", "In a world divided by factions based on virtues, Tris learns shes Divergent and wont fit in. When she discovers a plot to destroy Divergents, Tris and the mysterious Four must find out what makes Divergents dangerous before its too late."
"DVD movie: Mike and Dave Need Wedding Dates (2016)", "Two hard-partying brothers place an online ad to find the perfect dates for their sisters Hawaiian wedding. Hoping for a wild getaway, the boys instead find themselves out-hustled by an uncontrollable duo."
"DVD movie: Boyka: Undisputed IV (2016)", "In the fourth installment of the fighting franchise, Boyka is shooting for the big leagues when an accidental death in the ring makes him question everything he stands for."
"DVD movie: The Dark Knight Rises (2012)", "Eight years after the Jokers reign of anarchy, the Dark Knight, with the help of the enigmatic Selina, is forced from his imposed exile to save Gotham City, now on the edge of total annihilation, from the brutal guerrilla terrorist Bane."
"DVD movie: The Jungle Book (2016)", "After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther, Bagheera, and free spirited bear, Baloo."
"DVD movie: Transformers: Age of Extinction (2014)", "Autobots must escape sight from a bounty hunter who has taken control of the human serendipity: Unexpectedly, Optimus Prime and his remaining gang turn to a mechanic, his daughter, and her back street racing boyfriend for help."
"DVD movie: Nerve (2016)", "A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of watchers."
"DVD movie: Mamma Mia! (2008)", "The story of a bride-to-be trying to find her real father told using hit songs by the popular 70s group ABBA."
"DVD movie: The Revenant (2015)", "A frontiersman on a fur trading expedition in the 1820s fights for survival after being mauled by a bear and left for dead by members of his own hunting team."
"DVD movie: Fences (2016)", "A working-class African-American father tries to raise his family in the 1950s, while coming to terms with the events of his life."
"DVD movie: Into the Woods (2014)", "A witch tasks a childless baker and his wife with procuring magical items from classic fairy tales to reverse the curse put on their family tree."
"DVD movie: The Shallows (2016)", "A mere 200 yards from shore, surfer Nancy is attacked by a great white shark, with her short journey to safety becoming the ultimate contest of wills."
"DVD movie: Whiplash (2014)", "A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a students potential."
"DVD movie: Furious 6 (2013)", "Hobbs has Dominic and Brian reassemble their crew to take down a team of mercenaries: Dominic unexpectedly gets convoluted also facing his presumed deceased girlfriend, Letty."
"DVD movie: The Place Beyond the Pines (2012)", "A motorcycle stunt rider turns to robbing banks as a way to provide for his lover and their newborn child, a decision that puts him on a collision course with an ambitious rookie cop navigating a department ruled by a corrupt detective."
"DVD movie: No Country for Old Men (2007)", "Violence and mayhem ensue after a hunter stumbles upon a drug deal gone wrong and more than two million dollars in cash near the Rio Grande."
"DVD movie: The Great Gatsby (2013)", "A writer and wall street trader, Nick, finds himself drawn to the past and lifestyle of his millionaire neighbor, Jay Gatsby."
"DVD movie: Shutter Island (2010)", "In 1954, a U.S. marshal investigates the disappearance of a murderess who escaped from a hospital for the criminally insane."
"DVD movie: Brimstone (2016)", "From the moment the new reverend climbs the pulpit, Liz knows she and her family are in great danger."
"DVD movie: Star Trek (2009)", "The brash James T. Kirk tries to live up to his fathers legacy with Mr. Spock keeping him in check as a vengeful Romulan from the future creates black holes to destroy the Federation one planet at a time."
"DVD movie: Diary of a Wimpy Kid (2010)", "The adventures of a teenager who is fresh out of elementary and transitions to middle school, where he has to learn the consequences and responsibility to survive the year."
"DVD movie: The Big Short (2015)", "Four denizens in the world of high-finance predict the credit and housing bubble collapse of the mid-2000s, and decide to take on the big banks for their greed and lack of foresight."
"DVD movie: Room (2015)", "A young boy is raised within the confines of a small shed."
"DVD movie: Django Unchained (2012)", "With the help of a German bounty hunter , a freed slave sets out to rescue his wife from a brutal Mississippi plantation owner."
"DVD movie: Ah-ga-ssi (2016)", "A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her."
"DVD movie: The Edge of Seventeen (2016)", "High-school life gets even more unbearable for Nadine when her best friend, Krista, starts dating her older brother."
"DVD movie: Watchmen (2009)", "In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it."
"DVD movie: Superbad (2007)", "Two co-dependent high school seniors are forced to deal with separation anxiety after their plan to stage a booze-soaked party goes awry."
"DVD movie: Inferno (2016)", "When Robert Langdon wakes up in an Italian hospital with amnesia, he teams up with Dr. Sienna Brooks, and together they must race across Europe against the clock to foil a deadly global plot."
"DVD movie: The BFG (2016)", "An orphan little girl befriends a benevolent giant who takes her to Giant Country, where they attempt to stop the man-eating giants that are invading the human world."
"DVD movie: The Hunger Games (2012)", "Katniss Everdeen voluntarily takes her younger sisters place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death."
"DVD movie: White Girl (2016)", "Summer, New York City. A college girl falls hard for a guy she just met. After a night of partying goes wrong, she goes to wild extremes to get him back."
"DVD movie: Sicario (2015)", "An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico."
"DVD movie: Twin Peaks: The Missing Pieces (2014)", "Twin Peaks before Twin Peaks (1990) and at the same time not always and entirely in the same place as Twin Peaks: Fire Walk with Me (1992). A feature film which presents deleted scenes from Twin Peaks: Fire Walk with Me (1992) assembled together for the first time in an untold portion of the storys prequel."
"DVD movie: Aliens vs Predator - Requiem (2007)", "Warring alien and predator races descend on a rural US town, where unsuspecting residents must band together for any chance of survival."
"DVD movie: Pacific Rim (2013)", "As a war between humankind and monstrous sea creatures wages on, a former pilot and a trainee are paired up to drive a seemingly obsolete special weapon in a desperate effort to save the world from the apocalypse."
"DVD movie: Crazy, Stupid, Love. (2011)", "A middle-aged husbands life changes dramatically when his wife asks him for a divorce. He seeks to rediscover his manhood with the help of a newfound friend, Jacob, learning to pick up girls at bars."
"DVD movie: Scott Pilgrim vs. the World (2010)", "Scott Pilgrim must defeat his new girlfriends seven evil exes in order to win her heart."
"DVD movie: Hot Fuzz (2007)", "Exceptional London cop Nicholas Angel is involuntarily transferred to a quaint English village and paired with a witless new partner. While on the beat, Nicholas suspects a sinister conspiracy is afoot with the residents."
"DVD movie: Mine (2016)", "After a failed assassination attempt, a soldier finds himself stranded in the desert. Exposed to the elements, he must survive the dangers of the desert and battle the psychological and physical tolls of the treacherous conditions."
"DVD movie: Free Fire (2016)", "Set in Boston in 1978, a meeting in a deserted warehouse between two gangs turns into a shootout and a game of survival."
"DVD movie: X-Men: Days of Future Past (2014)", "The X-Men send Wolverine to the past in a desperate effort to change history and prevent an event that results in doom for both humans and mutants."
"DVD movie: Jack Reacher: Never Go Back (2016)", "Jack Reacher must uncover the truth behind a major government conspiracy in order to clear his name. On the run as a fugitive from the law, Reacher uncovers a potential secret from his past that could change his life forever."
"DVD movie: Casino Royale (2006)", "Armed with a licence to kill, Secret Agent James Bond sets out on his first mission as 007 and must defeat a weapons dealer in a high stakes game of poker at Casino Royale, but things are not what they seem."
"DVD movie: Twilight (2008)", "A teenage girl risks everything when she falls in love with a vampire."
"DVD movie: Now You See Me 2 (2016)", "The Four Horsemen resurface and are forcibly recruited by a tech genius to pull off their most impossible heist yet."
"DVD movie: Woman in Gold (2015)", "Maria Altmann, an octogenarian Jewish refugee, takes on the Austrian government to recover artwork she believes rightfully belongs to her family."
"DVD movie: 13 Hours (2016)", "During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos."
"DVD movie: Spectre (2015)", "A cryptic message from Bonds past sends him on a trail to uncover a sinister organization. While M battles political forces to keep the secret service alive, Bond peels back the layers of deceit to reveal the terrible truth behind SPECTRE."
"DVD movie: Nightcrawler (2014)", "When Louis Bloom, a con man desperate for work, muscles into the world of L.A. crime journalism, he blurs the line between observer and participant to become the star of his own story."
"DVD movie: Kubo and the Two Strings (2016)", "A young boy named Kubo must locate a magical suit of armour worn by his late father in order to defeat a vengeful spirit from the past."
"DVD movie: Beyond the Gates (2016)", "Two estranged brothers reunite at their missing fathers video store and find a VCR board game dubbed Beyond The Gates that holds a connection to their fathers disappearance."
"DVD movie: Her (2013)", "A lonely writer develops an unlikely relationship with an operating system designed to meet his every need."
"DVD movie: Frozen (2013)", "When the newly crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister, Anna, teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition."
"DVD movie: Tomorrowland (2015)", "Bound by a shared destiny, a teen bursting with scientific curiosity and a former boy-genius inventor embark on a mission to unearth the secrets of a place somewhere in time and space that exists in their collective memory."
